mean, skewness, kurtosis, variance, min, max, rms,fft1,fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10,fft11,fft12,fft13,fft14,fft15,label
-0.369273804,1.608768659,31.06724265,0.069112347,-2.179644844,1.743266281,0.453294043,0.026003553,0.031887624,0.056416514,0.118587751,0.284001814,0.372024574,0.048309984,0.013880854,0.007157566,0.005515491,0.005599321,0.006047843,0.005363483,0.004225881,0.003791052,1
-0.364790093,0.047033823,26.68710641,0.087542648,-2.618460889,1.357400685,0.469696135,0.042251333,0.048559979,0.075721262,0.171550072,0.395311071,0.211031613,0.092518151,0.056618959,0.043142568,0.036329357,0.030762492,0.02527328,0.020796046,0.018069792,0.017178302,1
-0.382248179,-6.231822843,75.23118093,0.063175139,-3.180219651,0.658380126,0.457480939,0.019460971,0.019903795,0.022112978,0.029185952,0.051308247,0.131545127,0.221975932,0.103578443,0.060575135,0.052512584,0.057071644,0.057669481,0.044829353,0.033499712,0.029853265,1
-0.368492369,-1.860266483,35.70894102,0.082750171,-2.778293761,1.240756877,0.467479194,0.010939608,0.012657512,0.02018187,0.049670538,0.238128739,0.309346917,0.107843044,0.071165211,0.06496587,0.062454661,0.055007072,0.047832376,0.045497397,0.047138205,0.048660741,1
-0.376765439,0.092046841,9.858426151,0.006294074,-0.741356192,4.9E-324,0.385027623,0.002009323,0.004798948,0.010145776,0.003462085,0.008338868,0.03297617,0.009110953,0.005363642,0.002042049,0.001322203,0.001091335,0.001204754,0.003206768,0.004863009,0.002369169,1
-0.360447006,8.967824707,126.8909206,0.177131005,-2.237069451,5.190590251,0.554123676,0.035144438,0.034765627,0.034533928,0.036465823,0.043419892,0.061680261,0.111752594,0.275246852,0.61642953,0.402707029,0.224467352,0.174381686,0.177613338,0.209631266,0.232556557,1
-0.365649716,4.000877686,69.17880182,0.134218376,-2.579985218,3.694804864,0.517608048,0.025235714,0.028541985,0.041569367,0.078170854,0.167179792,0.243291439,0.221337027,0.211246378,0.220665378,0.196030515,0.144220635,0.110661132,0.09870739,0.098966714,0.101020638,1
-0.36017204,2.760563496,29.91453272,0.041563983,-1.382810468,1.206514402,0.413869402,0.024073811,0.026236362,0.034198365,0.053923661,0.095946865,0.120564204,0.075220086,0.04179891,0.027186764,0.020821395,0.018207108,0.017600243,0.01813396,0.019041742,0.019485156,1
-0.378472122,-2.128340257,34.78377457,0.032850598,-1.825107951,0.738120277,0.419632869,0.015174047,0.017272948,0.026070286,0.055406076,0.130956067,0.084715073,0.036477412,0.021513542,0.016250231,0.014360633,0.013762322,0.013435419,0.012951701,0.012441648,0.012224808,1
-0.35473685,0.385733772,18.54577477,0.082070572,-2.010972801,1.059932058,0.455970179,0.036515213,0.03818116,0.050044048,0.119097695,0.65690771,0.097449326,0.033795564,0.024311598,0.028356274,0.043964394,0.052152198,0.040769204,0.037706271,0.048198926,0.060570574,1
